On Chill	Wale Featuring Jeremih
Ballin'	Mustard Featuring Roddy Ricch
HIGHEST IN THE ROOM	Travis Scott
Baby Sitter	DaBaby Featuring Offset
Hot	Young Thug Featuring Gunna
Suge	DaBaby
Baby	Lil Baby & DaBaby
Enemies	Post Malone Featuring DaBaby
Money In The Grave	Drake Featuring Rick Ross
The London	Young Thug, J. Cole & Travis Scott
Cash Shit	Megan Thee Stallion Featuring DaBaby
YES	Fat Joe, Cardi B & Anuel AA
Panini	Lil Nas X
Hot Girl Summer	Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign
BOP	DaBaby
Woah	Lil Baby
MAMACITA	Tyga X YG X Santana
Follow God	Kanye West
Cut Up	Blac Youngsta
Ran$om	Lil Tecca
BEST ON EARTH	Russ & BIA
All Dat	Moneybagg Yo X Megan Thee Stallon
Writing On The Wall	French Montana Featuring Post Malone, Cardi B & Rvssian
Ride Or Die	Megan Thee Stallion & VickeeLo
Choosy	Fabolous Featuring Jeremih & Davido
Truth Hurts	Lizzo
Goodbyes	Post Malone Featuring Young Thug
Time	NF
My Type	Saweetie
Swervin	A Boogie Wit da Hoodie Featuring 6ix9ine
All Night Long	YFN Lucci Featuring Trey Songz
Wish Wish	DJ Khaled Featuring Cardi B & 21 Savage
Hot Shower	Chance The Rapper Featuring MadeinTYO & DaBaby
Pop Out	Polo G Featuring Lil Tjay
Press	Cardi B
Go Loko	YG, Tyga & Jon Z
Bezerk	Big Sean Featuring A$AP Ferg & Hit-Boy
Single Again	Big Sean
Wiggle It	French Montana Featuring City Girls
Uno	Ambjaay
Going Bad	Meek Mill Featuring Drake
Worth It	YK Osiris
Clout	Offset Featuring Cardi B
Broke Leg	Tory Lanez, Quavo & Tyga
Close Friends	Lil Baby
24/7	Meek Mill Featuring Ella Mai
Old Town Road	Lil Nas X Featuring Billy Ray Cyrus
I Like Girls	PnB Rock Featuring Lil Skies
Pure Water	Mustard & Migos
Act Up	City Girls
Envy Me	Calboy
Bacc At It Again	Yella Beezy, Gucci Mane & Quavo
MEGATRON	Nicki Minaj
Tap	NAV Featuring Meek Mill
Look Back At It	A Boogie Wit da Hoodie
Middle Child	J. Cole
Rule The World	2 Chainz Featuring Ariana Grande
Toast	Koffee
Put A Date On It	Yo Gotti Featuring Lil Baby
A Lot	21 Savage
Please Me	Cardi B & Bruno Mars
Big Ole Freak	Megan Thee Stallion
Light It Up	Marshmello, Tyga & Chris Brown
Slide	French Montana Featuring Blueface & Lil Tjay
2AM	Casanova X 30Roc Featuring Tory Lanez & Davido
Thotiana	Blueface
Drip Too Hard	Lil Baby & Gunna
Wow.	Post Malone
Die Young	Roddy Ricch
21	DaBaby
Poledancer	Wale Featuring Megan Thee Stallion
Twerk	City Girls Featuring Cardi B
Money	Cardi B
Girls Have Fun	Tyga, G-Eazy & Rich The Kid
I Am Who They Say I Am	YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo
Sicko Mode	Travis Scott
Be Like Me	Lil Pump Featuring Lil Wayne
ZEZE	Kodak Black Featuring Travis Scott & Offset
Wake Up In The Sky	Gucci Mane X Bruno Mars X Kodak Black
Dangerous	Meek Mill Featuring Jeremih & PnB Rock
Backin' It Up	Pardison Fontaine Featuring Cardi B
Sunflower (Spider-Man: Into The Spider-Verse)	Post Malone & Swae Lee
Mob Ties	Drake
FeRRis WhEEL	Tory Lanez Featuring Trippie Redd
Missin You Crazy	Russ
Leave Me Alone	Flipp Dinero
Uproar	Lil Wayne
Yosemite	Travis Scott
Lil Bebe	DaniLeigh
Say Na	Moneybagg Yo Featuring J. Cole
No Stylist	French Montana Featuring Drake
Major	Young Dolph Featuring Key Glock
Good Form	Nicki Minaj Featuring Lil Wayne
Sauce All On Me	Coca Vango
Mo Bamba	Sheck Wes
Dip	Tyga & Nicki Minaj
Ring	Cardi B Featuring Kehlani
Yes Indeed	Lil Baby & Drake
